condition_id,phase,stratum,tier,n_total,auroc_mean,auroc_sd,auroc_pooled,auroc_ci_lo,auroc_ci_hi,pooling,f1_mean,acc_mean,decoded_text_reference_auroc,gap_to_decoded_text,label_shuffle_auroc
norm-exact-data_only-fixed-bit_mlp,P1,v2,primary,12118,0.8335410816836342,0.018244206301675645,0.8335410816836342,0.800781171221539,0.8617600611187606,seed_stratified,0.7595620923853408,0.7350092823019926,0.9689005793297856,0.1353594976461514,
norm-exact-data_only-fixed-bit_mlp,P1,v3,primary,9178,0.7318481736336359,0.02601683242325364,0.7318481736336359,0.6946510390914883,0.7727285646787648,seed_stratified,0.6839568318239924,0.6294184563772091,0.9718861395012013,0.24003796586756543,
norm-exact-data_only-fixed-bit_mlp,P1,v4,primary,2714,0.6900294383080572,0.017610796298000757,0.6900294383080572,0.6492164018857555,0.7269726671862614,seed_stratified,0.655376836357451,0.5998941800480754,0.9919612873634067,0.30193184905534953,
norm-exact-data_only-fixed-bit_mlp-shufflepos,P1,v2,primary,12118,0.8339298968437525,0.02081156156206434,0.8339298968437525,0.8005316523502306,0.8626897091371852,seed_stratified,0.7587794876538967,0.7360800039480108,,,
norm-exact-data_only-fixed-bit_mlp-shufflepos,P1,v3,primary,9178,0.73257621997391,0.03269346953641818,0.73257621997391,0.6957920735077093,0.7720444094205318,seed_stratified,0.687375958201403,0.6227087400687529,,,
norm-exact-data_only-fixed-bit_mlp-shufflepos,P1,v4,primary,2714,0.705928740874185,0.019308821042196538,0.705928740874185,0.6656432071733598,0.7435509743906051,seed_stratified,0.6604489085162728,0.6282812692826291,,,
norm-exact-data_only-fixed-small_cnn,P1,v2,primary,12118,0.8718063340250195,0.01931965845509295,0.8718063340250195,0.8463942691759597,0.8920334885697078,seed_stratified,0.7940974754493033,0.7846978280002163,0.9689005793297856,0.09709424530476607,
norm-exact-data_only-fixed-small_cnn,P1,v3,primary,9178,0.8136102834431069,0.030278278811469217,0.8136102834431069,0.7732768658180168,0.8525854495764501,seed_stratified,0.7395146357527107,0.7153003896726051,0.9718861395012013,0.15827585605809436,
norm-exact-data_only-fixed-small_cnn,P1,v4,primary,2714,0.8050358218778577,0.010378221168329026,0.8050358218778577,0.7709395880496754,0.8365798907796343,seed_stratified,0.7244844252774365,0.7217139221360945,0.9919612873634067,0.186925465485549,
norm-exact-data_only-fixed-small_cnn-labelshuffle,P1,v2,primary,12118,0.4975583389176038,0.012269899432357857,0.4975583389176038,0.477035498813538,0.5192752292965384,seed_stratified,0.6651855391870916,0.49933448481198617,,,0.4975583389176038
norm-exact-data_only-fixed-small_cnn-labelshuffle,P1,v3,primary,9178,0.5080311316312779,0.013027137523220739,0.5080311316312779,0.4892401452133506,0.5250099800995848,seed_stratified,0.6660766001009651,0.49985553892150436,,,0.5080311316312779
norm-exact-data_only-fixed-small_cnn-labelshuffle,P1,v4,primary,2714,0.5062913436385756,0.03163511108906163,0.5062913436385756,0.47758421169799636,0.539834178253945,seed_stratified,0.6641663755665068,0.501437472861485,,,0.5062913436385756
norm-exact-data_only-fixed-small_cnn-shufflepos,P1,v2,primary,12118,0.7653059941088065,0.019150859792707996,0.7653059941088065,0.7216163900747505,0.8026198572049537,seed_stratified,0.713516444736077,0.6815355389893266,,,
norm-exact-data_only-fixed-small_cnn-shufflepos,P1,v3,primary,9178,0.6705184531459848,0.012342626779574957,0.6705184531459848,0.6408882411800855,0.7026867090406521,seed_stratified,0.6776545215220859,0.5558845405444562,,,
norm-exact-data_only-fixed-small_cnn-shufflepos,P1,v4,primary,2714,0.6558584736272405,0.02113775921819817,0.6558584736272405,0.6257717964842244,0.6886474292131604,seed_stratified,0.6677925850173022,0.5692716406933332,,,
